Title,House,Year,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase
Apple Dumpling Gang 1975.srt,Disney Live Action,1970,1780,3.82,4.52,5.18
Bedknobs and Broomsticks 1971.srt,Disney Live Action,1970,1572,4.02,5.48,5.05
Charley and the Angel 1973.srt,Disney Live Action,1970,2251,3.73,4.41,4.93
Escape to Witch Mountain 1975.srt,Disney Live Action,1970,1022,3.89,5.37,4.9
Freaky Friday 1976.srt,Disney Live Action,1970,2106,3.84,4.41,5.11
Gus 1976.srt,Disney Live Action,1970,1611,3.92,4.82,5.15
Herbie Rides Again 1974.srt,Disney Live Action,1970,1435,4.03,5.07,5.24
Hot Lead And Cold Feet 1978.srt,Disney Live Action,1970,1731,3.76,4.41,4.97
Napoleon and Samantha 1972.srt,Disney Live Action,1970,1588,3.69,4.45,4.82
No Deposit No Return.srt,Disney Live Action,1970,2095,3.92,4.54,5.24
One Little Indian 1973.srt,Disney Live Action,1970,1240,3.74,4.61,4.73
Pete's Dragon 1977.srt,Disney Live Action,1970,2079,3.71,4.57,4.71
Return from Witch Mountain 1978.srt,Disney Live Action,1970,1091,3.88,5.44,4.02
Robin Hood 1973.srt,Disney Live Action,1970,1294,3.93,4.56,4.96
Shaggy Da 1976.srt,Disney Live Action,1970,1610,3.88,4.9,5.0
The Aristocats 1970.srt,Disney Live Action,1970,159,4.25,5.78,4.05
The Black Hole 1979.srt,Disney Live Action,1970,994,4.16,5.56,5.16
The Cat From Outer Space 1978.srt,Disney Live Action,1970,1972,4.02,4.2,5.18
The Island At The Top Of The World 1974.srt,Disney Live Action,1970,1870,3.97,3.24,5.09
The Littlest Horse Thieves 1976.srt,Disney Live Action,1970,2082,3.74,3.59,4.83
The Million Dollar Duck 1971.srt,Disney Live Action,1970,1596,3.85,4.66,5.12
The North Avenue Irregulars 1979.srt,Disney Live Action,1970,2606,3.87,3.7,4.8
The Rescuers 1977.srt,Disney Live Action,1970,952,3.92,3.99,5.4
The Strongest Man in the World 1975.srt,Disney Live Action,1970,1723,3.91,5.03,5.04
The.Barefoot.Executive.1971.720p.WEB-DL.AAC2.0.H.264-alfaHD.ENG.srt,Disney Live Action,1970,1833,3.88,5.09,4.96
Treasure Of Matecumbe 1976.srt,Disney Live Action,1970,1500,3.86,5.29,4.92
___CONTROLLARE(ok).srt,Disney Live Action,1970,2659,4.05,4.84,4.91
___Winnie the Pooh EN.srt,Disney Live Action,1970,1491,3.9,4.91,4.96
Cheetah.1989.srt,Disney Live Action,1980,1350,3.86,4.64,5.19
Disney's Condorman (1981) English.srt,Disney Live Action,1980,990,3.94,5.04,5.02
Flight of the Navigator (1986).en.srt,Disney Live Action,1980,1071,3.85,5.89,5.03
Herbie.Goes.Bananas.1980.srt,Disney Live Action,1980,1341,3.87,4.46,5.18
Honey.I.Shrunk.the.Kids.1989.srt,Disney Live Action,1980,1384,3.74,4.48,5.11
Midnight Madness (1980).srt,Disney Live Action,1980,1837,3.79,4.21,5.09
Never.Cry.Wolf.1983.srt,Disney Live Action,1980,259,4.31,8.17,4.61
