Title,House,Decade,Year,Category,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs
The Adventures of Bullwhip Griffin,Disney,1960,1967,Live Action,0.4026315789473683,0.13361169102296455,0.4482029598308669,0.16592592592592592,0.5024975024975025,0.5774147727272727
The Computer Wore Tennis Shoes,Disney,1960,1969,Live Action,0.3728070175438596,0.16910229645093933,0.4619450317124736,0.24,0.5254745254745254,0.5078125
The Gnome-Mobile,Disney,1960,1967,Live Action,0.513157894736842,0.12317327766179531,0.22410147991543344,0.16000000000000003,0.07492507492507493,0.052556818181818184
The Happiest Millonaire,Disney,1960,1967,Live Action,0.6640350877192981,0.12734864300626303,0.40380549682875266,0.18666666666666665,0.8291708291708292,0.8089488636363636
The Horse In Grey Flannel Suit,Disney,1960,1968,Live Action,0.46403508771929813,0.14822546972860118,0.39323467230443987,0.21037037037037032,0.6393606393606394,0.546875
The Incredible Journey,Disney,1960,1963,Live Action,0.16403508771929823,0.16701461377870552,0.6183932346723044,0.13037037037037036,0.35664335664335667,0.31392045454545453
The Legend of Lobo,Disney,1960,1962,Live Action,0.10614035087719295,0.1565762004175365,0.7558139534883722,0.14962962962962956,0.3946053946053946,0.26207386363636365
The Love Bug,Disney,1960,1968,Live Action,0.3195175438596491,0.13778705636743216,0.5021141649048626,0.1777777777777778,0.5044955044955045,0.5539772727272727
The Monkeys Uncle,Disney,1960,1965,Live Action,0.669298245614035,0.17954070981210857,0.23890063424947144,0.2029629629629629,0.08891108891108891,0.0625
The Moon-Spinners,Disney,1960,1964,Live Action,0.425657894736842,0.12526096033402923,0.34883720930232565,0.22518518518518527,0.48951048951048953,0.5703125
The Parent Trap,Disney,1960,1961,Live Action,0.5679824561403508,0.12108559498956162,0.4238900634249473,0.17333333333333334,0.7302697302697303,0.8984375
The Sign of Zorro,Disney,1960,1960,Live Action,0.2839912280701754,0.1983298538622129,0.5591966173361522,0.21333333333333337,0.43756243756243757,0.44176136363636365
Thomasina,Disney,1960,1963,Live Action,0.38486842105263147,0.10438413361169097,0.4460887949260043,0.16000000000000003,0.4775224775224775,0.5823863636363636
"Toby Tyler, or Ten Weeks with a Circus",Disney,1960,1960,Live Action,0.29627192982456135,0.12108559498956162,0.3763213530655392,0.20148148148148148,0.37462537462537465,0.3991477272727273
Apple Dumpling Gang,Disney,1970,1975,Live Action,0.37061403508771923,0.1189979123173277,0.36997885835095135,0.21037037037037032,0.6033966033966034,0.5362215909090909
Charley and the Angel,Disney,1970,1973,Live Action,0.4739035087719297,0.10020876826722336,0.3583509513742072,0.17333333333333334,0.4645354645354645,0.6228693181818182
Escape to Witch Mountain,Disney,1970,1975,Live Action,0.20438596491228064,0.13361169102296455,0.4598308668076111,0.16888888888888898,0.26673326673326675,0.3288352272727273
Freaky Friday,Disney,1970,1976,Live Action,0.4421052631578946,0.12317327766179531,0.3583509513742072,0.20000000000000007,0.5134865134865135,0.5291193181818182
Gus,Disney,1970,1976,Live Action,0.3335526315789473,0.13987473903966596,0.40169133192389017,0.20592592592592596,0.44755244755244755,0.4225852272727273
Herbie Rides Again,Disney,1970,1974,Live Action,0.29495614035087714,0.16283924843423803,0.4281183932346724,0.21925925925925926,0.45354645354645357,0.41122159090909094
Hot Lead And Cold Feet,Disney,1970,1978,Live Action,0.3598684210526315,0.10647181628392477,0.3583509513742072,0.17925925925925923,0.43356643356643354,0.42116477272727276
Napoleon and Samantha,Disney,1970,1972,Live Action,0.32850877192982453,0.09185803757828803,0.3625792811839324,0.15703703703703709,0.3866133866133866,0.4950284090909091
