Title,House,Decade,Year,Category,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs,Short_Phrases%
Greyfriars Bobby The True Story of a Dog,Disney,1960,1961,Live Action,1559,3.73,5.66,4.62,459,700,1.0262989095574084
In Search of the Castaways,Disney,1960,1962,Live Action,1542,3.89,5.36,4.92,502,688,0.7133592736705577
Kidnapped,Disney,1960,1960,Live Action,1564,3.77,6.03,4.76,559,650,0.4475703324808184
Monkeys Go Home,Disney,1960,1967,Live Action,1635,4.03,5.01,4.98,415,625,0.7951070336391437
Moon Pilot,Disney,1960,1962,Live Action,1851,3.84,4.39,5.24,478,690,1.0264721772015126
Multiply That Darn Cat,Disney,1960,1965,Live Action,1155,3.89,5.26,4.97,319,448,0.6060606060606061
Pollyanna,Disney,1960,1960,Live Action,2402,4.11,5.23,4.84,725,1051,2.8726061615320564
Rascal,Disney,1960,1969,Live Action,1502,3.95,5.14,4.94,420,586,3.129161118508655
Robin Crusoe,Disney,1960,1966,Live Action,2257,3.99,2.89,5.39,67,45,3.677447939743022
Savage Sam,Disney,1960,1963,Live Action,1338,3.69,5.07,4.9,382,581,0.8221225710014948
Smith,Disney,1960,1969,Live Action,1459,3.82,5.07,4.97,371,538,0.822481151473612
Son of Flubber,Disney,1960,1963,Live Action,2021,4.07,5.95,5.13,674,999,0.5937654626422563
Summer Magic,Disney,1960,1963,Live Action,1805,3.91,5.5,4.84,586,714,0.7202216066481995
Swiss Family Robinson,Disney,1960,1960,Live Action,1780,3.76,5.03,4.92,368,892,0.6179775280898876
The Absent Minded Professor,Disney,1960,1961,Live Action,1704,3.98,5.37,5.05,530,748,1.3497652582159625
The Adventures of Bullwhip Griffin,Disney,1960,1967,Live Action,1926,3.89,5.26,4.88,503,813,1.6095534787123573
The Computer Wore Tennis Shoes,Disney,1960,1969,Live Action,1790,4.06,5.39,5.38,526,715,0.5586592178770949
The Gnome-Mobile,Disney,1960,1967,Live Action,2361,3.87,3.2,4.88,75,74,6.353240152477764
The Happiest Millonaire,Disney,1960,1967,Live Action,2978,3.95,4.85,5.24,842,1133,0.23505708529214236
The Horse In Grey Flannel Suit,Disney,1960,1968,Live Action,2206,3.96,4.74,5.18,640,770,0.5893019038984587
The Incredible Journey,Disney,1960,1963,Live Action,832,4.06,6.91,4.63,354,442,0.0
The Legend of Lobo,Disney,1960,1962,Live Action,501,4.04,9.25,4.77,380,368,0.0
The Love Bug,Disney,1960,1968,Live Action,1547,3.91,5.77,4.96,505,780,0.6464124111182934
The Monkeys Uncle,Disney,1960,1965,Live Action,3142,4.11,3.28,5.13,89,88,4.201145767027372
The Moon-Spinners,Disney,1960,1964,Live Action,2015,3.85,4.35,5.29,487,805,1.0421836228287842
The Parent Trap,Disney,1960,1961,Live Action,2680,3.83,5.03,4.93,731,1265,1.0447761194029852
The Sign of Zorro,Disney,1960,1960,Live Action,1385,4.2,6.31,5.2,438,622,0.4332129963898917
Thomasina,Disney,1960,1963,Live Action,1845,3.75,5.24,4.84,478,820,0.6504065040650406
"Toby Tyler, or Ten Weeks with a Circus",Disney,1960,1960,Live Action,1406,3.84,4.69,5.18,373,559,0.5689900426742532
Apple Dumpling Gang,Disney,1970,1975,Live Action,1780,3.82,4.52,5.18,604,755,3.707865168539326
Charley and the Angel,Disney,1970,1973,Live Action,2203,3.75,4.5,4.97,451,876,3.177485247389923
Escape to Witch Mountain,Disney,1970,1975,Live Action,1022,3.89,5.37,4.9,267,463,0.684931506849315
Freaky Friday,Disney,1970,1976,Live Action,2106,3.84,4.41,5.11,514,745,0.949667616334283
Gus,Disney,1970,1976,Live Action,1611,3.92,4.82,5.15,448,595,3.5381750465549344
Herbie Rides Again,Disney,1970,1974,Live Action,1435,4.03,5.07,5.24,454,579,0.9059233449477353
Hot Lead And Cold Feet,Disney,1970,1978,Live Action,1657,3.82,4.6,5.05,438,592,0.9656004828002415
Napoleon and Samantha,Disney,1970,1972,Live Action,1586,3.69,4.45,4.82,386,697,0.9457755359394703
No Deposit No Return,Disney,1970,1976,Live Action,2095,3.92,4.54,5.24,572,834,0.9069212410501194
One Little Indian,Disney,1970,1973,Live Action,1201,3.77,4.73,4.77,291,494,1.0824313072439635
Return from Witch Mountain,Disney,1970,1978,Live Action,1091,3.88,5.44,4.02,233,323,1.008249312557287
Shaggy DA,Disney,1970,1976,Live Action,1600,3.88,4.93,4.99,396,585,0.625
The Barefoot Executive,Disney,1970,1971,Live Action,1833,3.88,5.09,4.96,520,787,0.4909983633387889
The Black Hole,Disney,1970,1979,Live Action,994,4.16,5.56,5.16,329,367,0.7042253521126761
The Cat From Outer Space,Disney,1970,1978,Live Action,1972,4.02,4.2,5.18,403,539,1.5720081135902637
The Island At The Top Of The World,Disney,1970,1974,Live Action,1870,3.97,3.24,5.09,51,44,2.085561497326203
