year,ref_color,counts
1980,#F0FFFF,1
1980,#F4A460,12
1980,#F5DEB3,3
1980,#F5F5DC,6
1980,#F5F5F5,4
1980,#F5FFFA,1
1980,#FA8072,2
1980,#FAEBD7,2
1980,#FAFAD2,1
1980,#FF0000,1
1980,#FF00FF,1
1980,#FF69B4,3
1980,#FFB6C1,1
1980,#FFC0CB,1
1980,#FFD700,10
1980,#FFDAB9,2
1980,#FFDEAD,1
1980,#FFE4E1,3
1980,#FFF0F5,1
1980,#FFF8DC,1
1980,#FFFF00,1
1990,#000080,51
1990,#00008B,36
1990,#0000CD,31
1990,#006400,28
1990,#008000,6
1990,#008080,62
1990,#008B8B,16
1990,#00BFFF,16
1990,#00CED1,3
1990,#00FA9A,2
1990,#191970,397
1990,#1E90FF,8
1990,#20B2AA,9
1990,#228B22,22
1990,#2E8B57,58
1990,#2F4F4F,2555
1990,#32CD32,18
1990,#3CB371,8
1990,#40E0D0,4
1990,#4169E1,45
1990,#4682B4,554
1990,#483D8B,1069
1990,#48D1CC,14
1990,#4B0082,26
1990,#556B2F,635
1990,#5F9EA0,117
1990,#6495ED,110
1990,#663399,49
1990,#66CDAA,15
1990,#696969,2466
1990,#6A5ACD,43
1990,#6B8E23,68
1990,#708090,557
1990,#778899,296
1990,#7B68EE,30
1990,#7CFC00,2
1990,#800000,542
1990,#800080,36
1990,#808000,35
1990,#808080,414
1990,#87CEEB,71
1990,#87CEFA,69
1990,#8A2BE2,6
1990,#8B0000,60
1990,#8B008B,2
1990,#8B4513,712
1990,#8FBC8F,84
1990,#90EE90,11
1990,#9370DB,31
1990,#9400D3,2
1990,#9932CC,14
1990,#9ACD32,33
1990,#A0522D,988
1990,#A52A2A,404
1990,#A9A9A9,256
1990,#ADD8E6,47
1990,#ADFF2F,1
1990,#AFEEEE,24
1990,#B0C4DE,179
1990,#B0E0E6,35
1990,#B22222,131
1990,#B8860B,25
1990,#BA55D3,4
1990,#BC8F8F,592
1990,#BDB76B,150
1990,#C0C0C0,91
1990,#C71585,27
1990,#CD5C5C,149
1990,#CD853F,257
1990,#D2691E,128
1990,#D2B48C,334
1990,#D3D3D3,66
1990,#D8BFD8,112
1990,#DA70D6,18
1990,#DAA520,44
1990,#DB7093,87
1990,#DC143C,29
1990,#DCDCDC,53
1990,#DDA0DD,59
1990,#DEB887,134
1990,#E0FFFF,14
1990,#E6E6FA,29
1990,#E9967A,193
1990,#EE82EE,5
1990,#EEE8AA,43
1990,#F08080,14
1990,#F0E68C,65
1990,#F0F8FF,7
1990,#F0FFF0,13
1990,#F0FFFF,3
1990,#F4A460,99
1990,#F5DEB3,27
1990,#F5F5DC,17
1990,#F5F5F5,13
1990,#F5FFFA,5
1990,#F8F8FF,1
1990,#FA8072,12
1990,#FAEBD7,16
1990,#FAF0E6,8
1990,#FAFAD2,3
1990,#FDF5E6,1
1990,#FF0000,4
1990,#FF00FF,2
1990,#FF1493,3
1990,#FF4500,16
