,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl,num_words,num_terms,rttr,cttr,mltd
338,Freaky Friday,1976,1970,Disney,Live Action,0.28769417115711415,0.6139720937502444,0.10581481490540967,0.11100047005504832,0.42911480443158057,0.7636113853601778,0.3486757069155081,0.1544230771815058,1,5,10,4,0,1,6,2,0.5877810583692937,0.6793015332197615,0.7427619641110976,0.7427619641110976,0.6077247929160345
339,Apple Dumpling Gang,1975,1970,Disney,Live Action,0.29699139267133534,0.6298099147129244,0.11089582112920826,0.15874090335123459,0.4503659681393673,0.7880922682738681,0.3482283109302309,0.1845409662744687,1,5,10,4,0,2,6,2,0.5254939813763344,0.6294718909710392,0.7255862149691931,0.7255862149691934,0.6206657381602914
340,The Littlest Horse Thieves,1976,1970,Disney,Live Action,0.2507221865729234,0.7143660676220867,0.049050104563523655,0.10319987198616598,0.42982455523154384,0.7727430138877909,0.2760347839113926,0.1771034686644036,1,5,8,4,0,2,6,2,0.4584374290256643,0.44207836456558774,0.5183570466430415,0.5183570466430416,0.5346765778876921
341,Charley and the Angel,1973,1970,Disney,Live Action,0.2617493794411651,0.694139260067514,0.07591493662720672,0.09612773804213048,0.4156374400847348,0.7623231300978436,0.28145734967016467,0.1777510668374435,1,5,8,4,0,1,6,2,0.6421757892346128,0.5557921635434413,0.5569642894777623,0.5569642894777624,0.587282870328756
342,RocketMan,1997,1990,Disney,Live Action,0.34212422219706784,0.5206044394518239,0.1616369677424303,0.2063811456031256,0.48883248195797263,0.8104255323308706,0.37999741901821105,0.1644639508424082,2,6,10,5,0,3,6,2,0.4393027481262775,0.6341567291311755,0.8101382745503137,0.8101382745503141,0.5830361780860747
343,My Favorite Martian,1999,1990,Disney,Live Action,0.2959179020208381,0.5836328062250669,0.16827780581106933,0.17855056554642135,0.4274009626689445,0.7551842076278441,0.34074537114580306,0.13994303914960038,1,5,10,4,0,1,6,2,0.5327617533499887,0.7137989778534923,0.8311483950020164,0.8311483950020169,0.5936726496114816
344,Blank Check,1994,1990,Disney,Live Action,0.24704866719884944,0.6881293767945373,0.12377599496860803,0.14505933879331523,0.38446182564206066,0.7301747647810458,0.29319764181727537,0.1483573063356076,1,5,10,4,0,0,6,2,0.5440040881217352,0.5604770017035775,0.6211527073986391,0.6211527073986394,0.45433455804339207
345,Squanto A Warriors Tale,1994,1990,Disney,Live Action,0.38743408665432016,0.48547369700067833,0.24901168250406236,0.2738311943484164,0.46465487501842023,0.8007257320813828,0.4321035444679908,0.2146588147430646,3,6,12,5,0,2,7,3,0.28247785600726777,0.44122657580919933,0.6867253802781196,0.6867253802781199,0.43106673905400106
346,George of the Jungle,1997,1990,Disney,Live Action,0.44589742574005325,0.513647646507704,0.2820095256883839,0.37317826528606435,0.531666920507,0.8274196915536011,0.5215944822412981,0.3501768150913011,3,6,13,6,2,3,7,5,0.24097206450147624,0.4250425894378194,0.7192393302916752,0.7192393302916755,0.4882269366619889
347,Muppet Treasure Island,1996,1990,Disney,Live Action,0.3564450760627663,0.5179888292158119,0.13238025784235474,0.20104399946565998,0.4882411137992426,0.8157818558493957,0.3802773360073719,0.18633249250858924,2,6,10,5,0,3,6,2,0.53645241880536,0.7393526405451448,0.8615267210945557,0.8615267210945556,0.5173452355891982
