,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl
381,Tom and Huck,1995,1990,Disney,Animation,0.22875397502415293,0.7237619388641834,0.15926269770568358,0.17827811986708253,0.39542524267684714,0.7389326311062094,0.260396161326542,0.14730703525281544,1,5,10,4,0,1,6,2
382,That Darn Cat,1997,1990,Disney,Animation,0.28004530657533294,0.6422722659114881,0.15332963890844653,0.16961769570650942,0.4117684520034831,0.7555844426494559,0.3295826074771223,0.16551508173396146,1,5,10,4,0,1,6,2
383,Inspector Gadget,1999,1990,Disney,Animation,0.33260348038487847,0.5386380117706593,0.205925832590362,0.23242842100603178,0.42495319889535577,0.763455481743871,0.3740113917359299,0.16419253978282852,2,5,12,5,0,1,6,2
384,Home For Christmas,1998,1990,Disney,Animation,0.35176995972166386,0.5567249820638192,0.1106925740306075,0.1687376434514567,0.4944842570343142,0.8228202959078863,0.382694933156277,0.21397175643714642,2,5,10,4,0,3,6,3
385,101 Dalmatians,1996,1990,Disney,Animation,0.312156626556289,0.5927224381056888,0.16799549891468846,0.19384010889552705,0.40884303740133476,0.7558746075566063,0.3686231977997083,0.17836093104855946,2,5,10,5,0,1,6,2
386,Cool Runnings,1993,1990,Disney,Animation,0.28959800494544974,0.6264860942427042,0.10706581700563922,0.13030748110972967,0.44209427030261467,0.7784697484881861,0.3471176369955449,0.16890129003089466,1,5,10,4,0,2,6,2
387,White Fang,1991,1990,Disney,Animation,0.15715881653470143,0.8166708946152874,0.033717431608028314,0.04730985405441934,0.3529044475460834,0.6825204885691629,0.17231702679530592,0.1051168626387836,0,9,8,4,0,-1,5,1
388,Iron Will,1994,1990,Disney,Animation,0.2566503118270429,0.6735910527776623,0.10219781797893834,0.1431211179362082,0.4236023463925487,0.7603272156643502,0.30706310888034505,0.1525097608146842,1,5,10,4,0,1,6,2
389,D3 The Mighty Ducks,1996,1990,Disney,Animation,0.2682625478530367,0.6599302383554244,0.10620456807889267,0.14814505538278477,0.44384521786435,0.7779820912482456,0.29546129742756755,0.15872840645252448,1,5,10,4,0,2,6,2
390,Operation Dumbo Drop,1995,1990,Disney,Animation,0.2800092498271297,0.662832067466629,0.17780262970966543,0.20303464406246574,0.38821789235679593,0.7425011952374381,0.3354763086830922,0.18472619015385003,1,5,12,5,0,1,6,2
391,Tron,1982,1980,Disney,Animation,0.35186206807826037,0.5082948794983193,0.13369833372306938,0.159889557681836,0.49271528212796606,0.8150633392172968,0.3898097697841274,0.17072070487570695,2,6,10,4,0,3,6,2
392,Mary Poppins,1964,1960,Disney,Animation,0.41116975902153846,0.43787481509117554,0.11770199884051569,0.18408296523902723,0.5473913584550588,0.8615751947499192,0.4479973052668731,0.21324599027586666,3,6,10,4,2,4,7,3
393,G-Force,2009,2000,Disney,Animation,0.32731196569537474,0.5458990309670448,0.12443482609272627,0.13564760523830577,0.4678964578699676,0.7942433624597929,0.36643754214615076,0.16110907006478528,2,5,10,4,0,2,6,2
394,Mary Poppins Returns,2018,2010,Disney,Animation,0.33600227790551906,0.6028751002076933,0.04227389215756694,0.09977057083103924,0.5022062239965945,0.8281223044343602,0.36535093591492585,0.22762699788390836,2,5,8,4,0,3,6,3
395,So Dear To My Heart,1948,1940,Disney,Animation,0.3973377464019705,0.5572526952130885,0.11228358185300036,0.22522496081164467,0.5537220298735096,0.8559054107665712,0.4062150847236897,0.2939852439237569,3,5,10,5,2,4,7,4
396,Melody Time,1948,1940,Disney,Animation,0.564182596517838,0.3764538809512754,0.07346577134239962,0.2692884782445927,0.693555866603076,0.9189648015334054,0.5704305605869602,0.43194201274904803,5,6,8,5,5,6,8,6
397,The Three Caballeros,1944,1940,Disney,Animation,0.4374870831998771,0.4402779860906423,0.28438927679369896,0.3331699821666475,0.49858258363860647,0.8229978718260899,0.5268775982953984,0.26978692455112996,3,6,13,5,0,3,7,4
398,Fantasia,1940,1940,Disney,Animation,0.7741965739318356,0.05639865217244577,0.1330214461265179,0.30818227544326504,0.840723128603788,0.9999999999999999,0.9122576988509068,0.5571108159702086,7,8,10,5,7,8,10,8
399,Song of the South,1946,1940,Disney,Animation,0.31198553058592954,0.6748480852396841,0.3271984062171951,0.380768623670798,0.4173757459424056,0.7629151027317574,0.2657012483829603,0.2439181203703191,2,5,13,6,0,1,6,3
400,The Reluctant Dragon,1941,1940,Disney,Animation,0.30232531380716354,0.5784625458677422,0.10762701574646649,0.10340873454397281,0.4446626258479947,0.7713991856077855,0.3269757808028281,0.14481527164829838,2,5,10,4,0,2,6,2
